,Sentiment_Flag
3847,Negative
3853,Neutral_or_Positive
3856,Neutral_or_Positive
3867,Neutral_or_Positive
3873,Negative
3882,Neutral_or_Positive
3888,Neutral_or_Positive
3898,Neutral_or_Positive
3900,Negative
3903,Neutral_or_Positive
3915,Negative
3920,Negative
3924,Negative
3936,Neutral_or_Positive
3965,Neutral_or_Positive
3969,Neutral_or_Positive
3982,Neutral_or_Positive
3995,Neutral_or_Positive
4000,Neutral_or_Positive
4003,Neutral_or_Positive
4024,Negative
4027,Neutral_or_Positive
4047,Neutral_or_Positive
4058,Neutral_or_Positive
4061,Neutral_or_Positive
4065,Neutral_or_Positive
4068,Neutral_or_Positive
4079,Neutral_or_Positive
4080,Neutral_or_Positive
4092,Neutral_or_Positive
4094,Negative
4104,Neutral_or_Positive
4125,Neutral_or_Positive
4126,Negative
4130,Neutral_or_Positive
4133,Neutral_or_Positive
4138,Neutral_or_Positive
4140,Negative
4174,Neutral_or_Positive
4194,Negative
4201,Negative
4208,Neutral_or_Positive
4211,Negative
4225,Neutral_or_Positive
4247,Negative
4252,Negative
4263,Neutral_or_Positive
4265,Negative
4266,Neutral_or_Positive
4272,Neutral_or_Positive
4278,Negative
4308,Negative
4319,Negative
4320,Negative
4328,Negative
4329,Negative
4344,Neutral_or_Positive
4352,Negative
4354,Neutral_or_Positive
4356,Negative
4357,Negative
4362,Negative
4366,Neutral_or_Positive
4374,Neutral_or_Positive
4384,Neutral_or_Positive
4385,Neutral_or_Positive
4388,Negative
4390,Negative
4394,Negative
4396,Negative
4401,Negative
4429,Negative
4439,Negative
4444,Negative
4451,Neutral_or_Positive
4452,Neutral_or_Positive
4474,Negative
4481,Neutral_or_Positive
4486,Neutral_or_Positive
4502,Neutral_or_Positive
4506,Neutral_or_Positive
4517,Negative
4520,Negative
4549,Negative
4567,Neutral_or_Positive
4577,Negative
4591,Negative
4598,Neutral_or_Positive
4604,Neutral_or_Positive
4627,Neutral_or_Positive
4639,Neutral_or_Positive
4645,Negative
4650,Neutral_or_Positive
4663,Negative
4664,Negative
4665,Negative
4677,Neutral_or_Positive
4687,Neutral_or_Positive
4704,Neutral_or_Positive
4741,Neutral_or_Positive
4746,Neutral_or_Positive
4750,Neutral_or_Positive
4763,Neutral_or_Positive
4767,Negative
4786,Negative
4803,Negative
4804,Neutral_or_Positive
4811,Neutral_or_Positive
4812,Negative
4817,Neutral_or_Positive
4831,Neutral_or_Positive
4833,Neutral_or_Positive
4840,Negative
4842,Negative
4861,Neutral_or_Positive
4864,Neutral_or_Positive
4871,Neutral_or_Positive
4874,Negative
4879,Neutral_or_Positive
4896,Neutral_or_Positive
4900,Negative
4904,Neutral_or_Positive
4907,Neutral_or_Positive
4909,Negative
4914,Negative
4952,Neutral_or_Positive
4955,Neutral_or_Positive
4961,Neutral_or_Positive
4963,Negative
4965,Neutral_or_Positive
4978,Neutral_or_Positive
4999,Neutral_or_Positive
5008,Negative
5013,Neutral_or_Positive
5017,Neutral_or_Positive
5022,Neutral_or_Positive
5025,Neutral_or_Positive
5041,Negative
5055,Negative
5072,Neutral_or_Positive
5076,Neutral_or_Positive
5082,Negative
5130,Negative
5137,Neutral_or_Positive
5163,Neutral_or_Positive
5165,Negative
5182,Neutral_or_Positive
5194,Negative
5208,Neutral_or_Positive
5212,Negative
5213,Neutral_or_Positive
5231,Negative
5254,Neutral_or_Positive
5264,Negative
5287,Neutral_or_Positive
5293,Neutral_or_Positive
5301,Neutral_or_Positive
5307,Negative
5310,Negative
5336,Negative
5348,Neutral_or_Positive
5356,Negative
5364,Negative
5389,Neutral_or_Positive
5415,Negative
5434,Neutral_or_Positive
5447,Negative
5455,Negative
5462,Neutral_or_Positive
5463,Neutral_or_Positive
5467,Negative
5522,Negative
5528,Negative
5538,Neutral_or_Positive
5548,Neutral_or_Positive
5591,Negative
5605,Negative
5610,Negative
5620,Negative
5641,Neutral_or_Positive
5646,Neutral_or_Positive
5676,Neutral_or_Positive
5678,Neutral_or_Positive
5706,Neutral_or_Positive
5715,Neutral_or_Positive
5720,Negative
5725,Negative
5732,Neutral_or_Positive
5739,Neutral_or_Positive
5741,Negative
5742,Negative
5743,Neutral_or_Positive
5775,Neutral_or_Positive
5783,Neutral_or_Positive
5796,Neutral_or_Positive
5805,Negative
5811,Negative
5814,Neutral_or_Positive
5819,Negative
5852,Negative
5857,Neutral_or_Positive
5864,Neutral_or_Positive
5873,Neutral_or_Positive
5889,Neutral_or_Positive
5931,Neutral_or_Positive
5955,Neutral_or_Positive
6011,Negative
6012,Neutral_or_Positive
6067,Negative
6071,Negative
6134,Negative
6149,Negative
6181,Neutral_or_Positive
6208,Neutral_or_Positive
6231,Neutral_or_Positive
6239,Neutral_or_Positive
6247,Negative
6254,Negative
6283,Neutral_or_Positive
6293,Neutral_or_Positive
6314,Negative
6316,Neutral_or_Positive
6319,Negative
6323,Negative
6344,Neutral_or_Positive
6345,Negative
6348,Neutral_or_Positive
6350,Neutral_or_Positive
6371,Neutral_or_Positive
6375,Neutral_or_Positive
6378,Neutral_or_Positive
6385,Neutral_or_Positive
6388,Negative
6393,Neutral_or_Positive
6395,Neutral_or_Positive
6400,Negative
6420,Negative
6432,Neutral_or_Positive
6440,Neutral_or_Positive
6450,Neutral_or_Positive
6455,Negative
6473,Neutral_or_Positive
6475,Negative
6483,Neutral_or_Positive
6489,Neutral_or_Positive
6495,Negative
6518,Neutral_or_Positive
6531,Neutral_or_Positive
6537,Neutral_or_Positive
6547,Negative
6549,Neutral_or_Positive
6560,Neutral_or_Positive
6563,Negative
6584,Negative
6589,Negative
6592,Neutral_or_Positive
6593,Neutral_or_Positive
6615,Negative
6633,Negative
6639,Neutral_or_Positive
6650,Neutral_or_Positive
6654,Negative
6655,Neutral_or_Positive
6658,Neutral_or_Positive
6702,Neutral_or_Positive
6706,Neutral_or_Positive
6709,Negative
6716,Negative
6718,Negative
6731,Neutral_or_Positive
6738,Neutral_or_Positive
6740,Neutral_or_Positive
6759,Negative
6764,Neutral_or_Positive
6767,Neutral_or_Positive
6772,Negative
6783,Neutral_or_Positive
6788,Neutral_or_Positive
6802,Neutral_or_Positive
6804,Neutral_or_Positive
6805,Neutral_or_Positive
6807,Neutral_or_Positive
6821,Neutral_or_Positive
6828,Neutral_or_Positive
6836,Neutral_or_Positive
6842,Neutral_or_Positive
6845,Neutral_or_Positive
6878,Negative
6880,Neutral_or_Positive
6885,Negative
6900,Neutral_or_Positive
6912,Negative
6943,Neutral_or_Positive
6945,Neutral_or_Positive
6952,Neutral_or_Positive
6960,Negative
6969,Negative
6973,Neutral_or_Positive
6980,Negative
6999,Neutral_or_Positive
7013,Neutral_or_Positive
7021,Neutral_or_Positive
7048,Neutral_or_Positive
7056,Negative
7059,Neutral_or_Positive
7065,Neutral_or_Positive
7123,Neutral_or_Positive
7125,Neutral_or_Positive
7154,Negative
7158,Neutral_or_Positive
7176,Neutral_or_Positive
7184,Neutral_or_Positive
7195,Neutral_or_Positive
7203,Neutral_or_Positive
7212,Negative
7216,Neutral_or_Positive
7218,Negative
7248,Neutral_or_Positive
7275,Neutral_or_Positive
7278,Neutral_or_Positive
7282,Negative
7283,Neutral_or_Positive
7285,Negative
7289,Negative
7298,Negative
7309,Neutral_or_Positive
7310,Neutral_or_Positive
7326,Neutral_or_Positive
7365,Negative
7369,Negative
7375,Neutral_or_Positive
7385,Negative
7397,Negative
7403,Neutral_or_Positive
7433,Neutral_or_Positive
7441,Neutral_or_Positive
7448,Neutral_or_Positive
7465,Negative
7475,Neutral_or_Positive
7487,Neutral_or_Positive
7492,Neutral_or_Positive
7503,Negative
7504,Neutral_or_Positive
7506,Neutral_or_Positive
7517,Negative
7526,Neutral_or_Positive
7527,Negative
7540,Neutral_or_Positive
7565,Neutral_or_Positive
7612,Negative
7616,Neutral_or_Positive
7624,Neutral_or_Positive
7635,Neutral_or_Positive
7641,Negative
7644,Negative
7661,Negative
7662,Neutral_or_Positive
7683,Negative
7685,Neutral_or_Positive
7690,Negative
7699,Neutral_or_Positive
7701,Neutral_or_Positive
7707,Negative
7709,Neutral_or_Positive
7710,Negative
7713,Negative
7719,Negative
7720,Neutral_or_Positive
7742,Neutral_or_Positive
7752,Neutral_or_Positive
7772,Negative
7794,Neutral_or_Positive
7802,Negative
7832,Neutral_or_Positive
7836,Neutral_or_Positive
7855,Neutral_or_Positive
7862,Neutral_or_Positive
7870,Neutral_or_Positive
7873,Neutral_or_Positive
7886,Negative
7890,Negative
7906,Negative
7931,Negative
7963,Negative
7964,Neutral_or_Positive
7972,Neutral_or_Positive
7974,Negative
8007,Neutral_or_Positive
8008,Neutral_or_Positive
8010,Neutral_or_Positive
8016,Neutral_or_Positive
8046,Neutral_or_Positive
8047,Negative
8053,Negative
8054,Neutral_or_Positive
8057,Neutral_or_Positive
8099,Neutral_or_Positive
8108,Neutral_or_Positive
8113,Negative
8150,Negative
8170,Negative
8183,Negative
8189,Neutral_or_Positive
8193,Neutral_or_Positive
8221,Neutral_or_Positive
8232,Neutral_or_Positive
8233,Neutral_or_Positive
8247,Neutral_or_Positive
8259,Neutral_or_Positive
8273,Neutral_or_Positive
8275,Negative
8284,Neutral_or_Positive
8290,Neutral_or_Positive
8315,Neutral_or_Positive
8326,Neutral_or_Positive
8358,Neutral_or_Positive
8359,Neutral_or_Positive
8374,Negative
8387,Negative
8402,Neutral_or_Positive
8419,Negative
8427,Neutral_or_Positive
8429,Negative
8438,Negative
8439,Negative
8442,Negative
8466,Negative
8474,Neutral_or_Positive
8479,Neutral_or_Positive
8480,Neutral_or_Positive
8488,Neutral_or_Positive
8495,Neutral_or_Positive
8496,Neutral_or_Positive
8502,Negative
8519,Negative
8523,Negative
8542,Negative
8544,Neutral_or_Positive
8548,Neutral_or_Positive
8555,Neutral_or_Positive
8556,Negative
8562,Negative
8565,Negative
8575,Neutral_or_Positive
8577,Neutral_or_Positive
8578,Neutral_or_Positive
8583,Neutral_or_Positive
8586,Neutral_or_Positive
8599,Neutral_or_Positive
8611,Neutral_or_Positive
8618,Negative
8623,Negative
8671,Negative
8683,Neutral_or_Positive
8688,Negative
8691,Negative
8699,Neutral_or_Positive
8710,Negative
8729,Negative
8732,Negative
8738,Neutral_or_Positive
8753,Neutral_or_Positive
8757,Negative
8768,Negative
8772,Neutral_or_Positive
8781,Neutral_or_Positive
8788,Neutral_or_Positive
8801,Neutral_or_Positive
8816,Neutral_or_Positive
8824,Negative
8825,Negative
8846,Neutral_or_Positive
8849,Neutral_or_Positive
8852,Neutral_or_Positive
8874,Neutral_or_Positive
8880,Negative
8910,Neutral_or_Positive
8917,Negative
8919,Neutral_or_Positive
8925,Negative
8928,Negative
8947,Neutral_or_Positive
8954,Neutral_or_Positive
8961,Neutral_or_Positive
8991,Neutral_or_Positive
8996,Negative
8997,Negative
9003,Negative
9013,Negative
9038,Neutral_or_Positive
9039,Negative
9057,Neutral_or_Positive
9074,Neutral_or_Positive
9109,Neutral_or_Positive
9113,Negative
9116,Negative
9118,Neutral_or_Positive
